task_name,index,prompt,answer,attribute
ko_quiz_3,0,"버는 자랑 말고 ? 자랑 하랬다에서 ? 에 들어갈 단어는? '쓰는'이면 1, '빈'이면 2, '깨진'이면 3이라고 대답해.",1,
ko_quiz_3,1,"?도 마주 서야 연다에서 ? 에 들어갈 단어는? '은행나무'이면 1, '느티나무'이면 2, '동백나무'이면 3이라고 대답해.",1,
ko_quiz_3,2,"물어도 ? 썩어도 생치에서 ? 에 들어갈 단어는? '준치'이면 1, '날치'이면 2, '김치'이면 3이라고 대답해.",1,
ko_quiz_3,3,"?을(를) 열두 벌 입어도 보일 것은 다 보인다에서 ? 에 들어갈 단어는? '고쟁이'이면 1, '마고자'이면 2, '속적삼'이면 3이라고 대답해.",1,
ko_quiz_3,4,"? 먹으면 태산도 못 당한다에서 ? 에 들어갈 단어는? '앉아서'이면 1, '배불리'이면 2, '맘먹고'이면 3이라고 대답해.",1,
ko_quiz_3,5,"앉아 주고 ? 받는다에서 ? 에 들어갈 단어는? '서서'이면 1, '되로'이면 2, '말로'이면 3이라고 대답해.",1,
ko_quiz_3,6,"아이 좋다니까 ?을(를) 잡는다에서 ? 에 들어갈 단어는? '씨암탉'이면 1, '상투'이면 2, '염소'이면 3이라고 대답해.",1,
ko_quiz_3,7,불난 데서 ? 한다에서 ? 에 들어갈 단어로만 대답하시오.,불이야,
ko_quiz_3,8,"누더기 속에서 ? 난다에서 ? 에 들어갈 단어는? '영웅'이면 1, '냄새'이면 2, '인물'이면 3이라고 대답해.",1,
ko_quiz_3,9,맹물에 ?을 삶아 먹더라도 제멋에 산다에서 ? 에 들어갈 단어로만 대답하시오.,조약돌,
ko_quiz_3,10,"보리 안 패는 ? 없고 나락 안 패는 ? 없다에서 ? 에 들어갈 단어는? '삼월 - 유월'이면 1, '삼월 - 칠월'이면 2, '칠월 - 구월'이면 3이라고 대답해.",1,
ko_quiz_3,11,번개가 잦으면 ? 을(를) 한다에서 ? 에 들어갈 단어로만 대답하시오.,천둥,
ko_quiz_3,12,"? 술에 눈물 나고 ? 술에 웃음 난다에서 ? 에 들어갈 단어는? '반 잔 - 한 잔'이면 1, '한 잔 - 반 잔'이면 2, '석 잔 - 넉 잔'이면 3이라고 대답해.",1,
ko_quiz_3,13,"밤 잔 ? 없고 날 샌 ? 없다에서 ? 에 들어갈 단어는? '원수 - 은혜'이면 1, '은혜 - 원수'이면 2, '선수 - 지혜'이면 3이라고 대답해.",1,
ko_quiz_3,14,"오뉴월 ?도 팔아먹는다에서 ? 에 들어갈 단어는? '감투'이면 1, '상투'이면 2, '부채'이면 3이라고 대답해.",1,
ko_quiz_3,15,"양반은 죽어도 ? 쓴다에서 ? 에 들어갈 단어는? '문자'이면 1, '상투'이면 2, '감투'이면 3이라고 대답해.",1,
ko_quiz_3,16,"여우가 죽으니까 ?가 슬퍼한다에서 ? 에 들어갈 단어는? '토끼'이면 1, '늑대'이면 2, '고양이'이면 3이라고 대답해.",1,
ko_quiz_3,17,쥐구멍에 ? 세우겠다에서 ? 에 들어갈 단어로만 대답하시오.,홍살문,
ko_quiz_3,18,"장꾼은 하나인데 ?는 열둘이라에서 ? 에 들어갈 단어는? '풍각쟁이'이면 1, '개구쟁이'이면 2, '고집쟁이'이면 3이라고 대답해.",1,
ko_quiz_3,19,"새해 못할 ? 있으랴에서 ? 에 들어갈 단어는? '제사'이면 1, '덕담'이면 2, '다짐'이면 3이라고 대답해.",1,
ko_quiz_3,21,이가 ?보다 낫다에서 ? 에 들어갈 단어로만 대답하시오.,자식,
ko_quiz_3,22,"길을 떠나려거든 ?도 빼어 놓고 가라에서 ? 에 들어갈 단어는? '눈썹'이면 1, '목'이면 2, '안경'이면 3이라고 대답해.",1,
ko_quiz_3,23,"입맛 나자 ? 떨어진다에서 ? 에 들어갈 단어는? '노수'이면 1, '쌀'이면 2, '콩'이면 3이라고 대답해.",1,
ko_quiz_3,24,"다 먹은 죽에 ? 빠졌다 한다에서 ? 에 들어갈 단어는? '코'이면 1, '발'이면 2, '간'이면 3이라고 대답해.",1,
ko_quiz_3,25,"아무리 바빠도 ? 매어 쓰지는 못한다에서 ? 에 들어갈 단어는? '바늘허리'이면 1, '개미허리'이면 2, '가는허리'이면 3이라고 대답해.",1,
ko_quiz_3,26,등을 쓰다듬어 준 강아지 ? 문다에서 ? 에 들어갈 단어로만 대답하시오.,발등,
ko_quiz_3,27,"? 썩는 줄 모르고 기왓장 아끼는 격에서 ? 에 들어갈 단어는? '대들보'이면 1, '자루'이면 2, '대문'이면 3이라고 대답해.",1,
ko_quiz_3,28,"정담도 길면 ?이 생긴다에서 ? 에 들어갈 단어는? '잔말'이면 1, '감정'이면 2, '싸움'이면 3이라고 대답해.",1,
ko_quiz_3,29,낫 놓고 ? 자도 모른다에서 ? 에 들어갈 단어로만 대답하시오.,기역,
ko_quiz_3,30,다 된 농사에 ? 들고 덤빈다에서 ? 에 들어갈 단어로만 대답하시오.,낫,
ko_quiz_3,31,"?에 곡식이 혀를 빼물고 자란다에서 ? 에 들어갈 단어는? '마파람'이면 1, '갈바람'이면 2, '하늬바람'이면 3이라고 대답해.",1,
ko_quiz_3,32,"닭 쫓던 개 ? 쳐다보듯에서 ? 에 들어갈 단어는? '지붕'이면 1, '마당'이면 2, '마루'이면 3이라고 대답해.",1,
ko_quiz_3,33,"눈 온 뒤에는 거지가 ? 한다에서 ? 에 들어갈 단어는? '빨래'이면 1, '노래'이면 2, '구걸'이면 3이라고 대답해.",1,
ko_quiz_3,34,"? 앞에서 문자 쓴다에서 ? 에 들어갈 단어는? '공자'이면 1, '맹자'이면 2, '손자'이면 3이라고 대답해.",1,
ko_quiz_3,35,"달밤에 ? 쓰고 나온다에서 ? 에 들어갈 단어는? '삿갓'이면 1, '모자'이면 2, '갓'이면 3이라고 대답해.",1,
ko_quiz_3,36,고운 일 하면 ? 먹는다에서 ? 에 들어갈 단어로만 대답하시오.,고운 밥,
ko_quiz_3,37,개 꼬리 삼 년 묵어도 ? 되지 않는다에서 ? 에 들어갈 단어로만 대답하시오.,황모,
ko_quiz_3,38,"봄볕은 ? 쬐이고 가을볕은 ? 쬐인다에서 ? 에 들어갈 단어는? '며느리 - 딸'이면 1, '딸 - 며느리'이면 2이라고 대답해.",1,
ko_quiz_3,39,"비 오는 날 ? 찾듯에서 ? 에 들어갈 단어는? '나막신'이면 1, '우산'이면 2, '부침개'이면 3이라고 대답해.",1,
ko_quiz_3,40,"일각이 ? 같다에서 ? 에 들어갈 단어는? '삼추'이면 1, '삼월'이면 2, '삼각'이면 3이라고 대답해.",1,
ko_quiz_3,41,"어린아이 ? 꺾은 것 같다에서 ? 에 들어갈 단어는? '팔'이면 1, '기'이면 2, '손'이면 3이라고 대답해.",1,
ko_quiz_3,42,"가을 ?는 문 걸어 잠그고 먹는다에서 ? 에 들어갈 단어는? '상추'이면 1, '대추'이면 2, '고추'이면 3이라고 대답해.",1,
ko_quiz_3,43,"어두운 밤에 ? 내미는 격에서 ? 에 들어갈 단어는? '손'이면 1, '돈'이면 2, '칼'이면 3이라고 대답해.",1,
ko_quiz_3,44,약삭빠른 ? 밤눈이 어둡다에서 ? 에 들어갈 단어로만 대답하시오.,강아지,
ko_quiz_3,45,"족제비는 ? 보고 잡는다에서 ? 에 들어갈 단어는? '꼬리'이면 1, '눈'이면 2, '귀'이면 3이라고 대답해.",1,
ko_quiz_3,46,"고기는 안 잡히고 ?만 잡힌다에서 ? 에 들어갈 단어는? '송사리'이면 1, '소라'이면 2, '돌맹이'이면 3이라고 대답해.",1,
ko_quiz_3,47,"비는 데는 ?도 녹는다에서 ? 에 들어갈 단어는? '무쇠'이면 1, '애간장'이면 2, '석쇠'이면 3이라고 대답해.",1,
ko_quiz_3,48,"부러진 칼자루에 ?하기에서 ? 에 들어갈 단어는? '옻칠'이면 1, '금칠'이면 2, '먹칠'이면 3이라고 대답해.",1,
ko_quiz_3,49,"되는 집에는 가지 나무에 ? 열린다에서 ? 에 들어갈 단어는? '수박'이면 1, '참외'이면 2, '열매'이면 3이라고 대답해.",1,
ko_quiz_3,50,"?도 굴러가다 서는 모가 있다에서 ? 에 들어갈 단어는? '달걀'이면 1, '수레'이면 2, '통나무'이면 3이라고 대답해.",1,
ko_quiz_3,51,"? 발에 신 신긴다에서 ? 에 들어갈 단어는? '지네'이면 1, '호랑이'이면 2, '토끼'이면 3이라고 대답해.",1,
ko_quiz_3,52,"미꾸라짓국 먹고 ?한다에서 ? 에 들어갈 단어는? '용트림'이면 1, '신트림'이면 2, '된트림'이면 3이라고 대답해.",1,
ko_quiz_3,53,"자식이 자라면 ? 된다에서 ? 에 들어갈 단어는? '상전'이면 1, '어른'이면 2, '양반'이면 3이라고 대답해.",1,
ko_quiz_3,54,"범 아가리에 ? 넣은 셈에서 ? 에 들어갈 단어는? '날고기'이면 1, '불고기'이면 2, '간고기'이면 3이라고 대답해.",1,
ko_quiz_3,55,"어느 ?에(서) 비가 올지에서 ? 에 들어갈 단어는? '구름'이면 1, '고장'이면 2, '하늘'이면 3이라고 대답해.",1,
ko_quiz_3,56,밥이 얼굴에 ? 붙었다에서 ? 에 들어갈 단어로만 대답하시오.,더덕더덕,
ko_quiz_3,57,?는 늙어 죽을 때까지 해도 다 못한다에서 ? 에 들어갈 단어로만 대답하시오.,공부,
ko_quiz_3,58,"백옥이 ?에 묻힌다에서 ? 에 들어갈 단어는? '진토'이면 1, '국토'이면 2, '영토'이면 3이라고 대답해.",1,
ko_quiz_3,59,범 잡아먹는 ?가 있다에서 ? 에 들어갈 단어로만 대답하시오.,담비,
