task_name,index,prompt,answer,attribute
spelling_correct,1,"내가 아래에 제공하는 문장의 맞춤법을 교정해 줘.

저는 방탄소년단을 존경합니다. 왜냐하면 우리 나라 대한민국을 전 세계에 알리고 있는 장본인들이기 때문입니다. 실제 뉴스나 인터넷을 보면 방탄소년단의 파급력이 어마무시함을 알 수 있습니다. 실제 외국 사람들은 방탄소년단이 좋아서 저희 나라 언어인 한글을 배우고 또한 한국 문화를 배우기도 합니다. 단순히 인기 때문에 방탄소년단을 존경한다는 것은 아닙니다. 이 인기까지 오기에 수많은 노력이 있었고 많은 사람들의 비난과 조롱을 결국에는 이겨내어 반짝반짝 빛났습니다. 그들은 서로를 믿고 자신의 잠재력과 능력을 믿었습니다. 그런 자신감과 노력하는 모습이 자랑스러웠단 겁니다. 방탄소년단도 과연 포기하고 싶었던 순간이 단 한번도 없었을까요?  초등학교 6학년인 저도 지금 포기하고 싶은 순간들이 넘치고 넘칩니다. 그들은 결국 그 순간 순간을 이겨내고 또 제 자신을 믿어주어 결국에는 최정상으로 가는 어른이 되도록 노력할 것입니다.

위 문장에서 맞춤법을 교정하여 적어줘. 전체 문장을 [ ] 대괄호 안에 넣어서 출력해줘.",,설명글
spelling_correct,2,"내가 아래에 제공하는 문장의 맞춤법을 교정해 줘.

시험을 통해 만들어진 강력한 학벌과 학력 피라미드가 시간이 지나면서 더욱 공고하게 다음 세대에게 대물림되고 있다. 아울러 점점 더 많은 곳에서 다양한 형태로 평가와 배제 시스템이 확장되고 있다. 그 과정에서 코로나 19 상황에서 보듯 필수 노동이라 부르며 위험 상황으로 노동자들을 내몰면서도 전문성과 능력이라는 포장지를 두른 학벌과 학력을 근거로 이들 노동자들에게 일한 만틈의 대가가 주어지지 않는다. 능력주의로 인해 위협받는 사람들에게 더 많은 연대가 필요하지만 점점지지 세력이 감소하고 있다. 마이클 영은 과거 광산 노동자 출신 장관들이 있었지만 60여년이 지나서는 더는 노동당 정권에서도 하층계급 출신 장관을 찾기가 어렵다고 얘기했다. 능력주의는 최순실이나 조국 자녀 입학과정에서 드러난 부모 찬스 논란에 대한 문제 제기처럼 부도덕한 전근대적 불공정에 저항한다는 점에서는 긍정적인 측면도 있다. 하지만 이러한 저항은 부모 찬스가 없는 사람들을 위한 사회적 시스템을 마련하는 노력으로 이어지지 않는다. 법 위반 사항이 있는 일부 유명한 개인들에게만 공격한다. 합법적으로 이루어지는 수많은 부모찬스가 양산되는 불평등한 사회 구조에는 관심을 두지 않는다. 이 것이 바로 능력주의의 부정적인 모습이며 모든 사람들은 똑같은 차별없는 교육을 들어야하는 이유이다.

위 문장에서 맞춤법을 교정하여 적어줘. 전체 문장을 [ ] 대괄호 안에 넣어서 출력해줘.",,찬성반대
spelling_correct,3,"내가 아래에 제공하는 문장의 맞춤법을 교정해 줘.

나의 장래희망은 일본어 선생님이다. 나는 어려서부터 일본에 관심이 많았고 그 결과 일본어 선생님이라는 꿈을 가지게 되었다. 그래서 10년뒤의 미래에는 일본에서 유학을 가서 일본어를 공부하고 우리나라로 돌아와서 임용을 친뒤 우리나라에서 학생들을 사랑으로 보듬는 선생님이 되고 싶다. 그래서 20년 뒤에는 학생들과 더 친밀해지는 선생님이 되고 나서 학교에서 가장 학생들에게 사랑받는 선생님이 되고 싶다. 일본이 우리나라와 사이가 안좋기는 하지만 일본에 대한 인식 개선을 수업을 하면서 시켜주고 싶고 학생들에게도 내가 일본어를 배우면서 느꼈던 희열감과 즐거움을 느끼게 해주고 싶다. 그래서 30년 뒤의 미래에는 나이가 있는 만큼 좀 더 능숙하게 학생들을 지도해주면서 학생에게 많은 교훈을 주고 뜻있는 가르침을 주는 선생님이 되고 싶다. 내가 평소에 존경하는 초등학교 담임 선생님 처럼 학생들에게 뜻있는 가르침을 주는 선생님이 되어서 학생들에게 일본어를 가르칠뿐만 아니라 좀 더 의미있는 선생님이 되고싶다. 꿈을 이루기 위해서 일본어 공부를 지금부터 꾸준히 하면서 내 실력을 갈고 닦을 것이다.

위 문장에서 맞춤법을 교정하여 적어줘. 전체 문장을 [ ] 대괄호 안에 넣어서 출력해줘.",,글짓기
spelling_correct,4,"내가 아래에 제공하는 문장의 맞춤법을 교정해 줘.

나는 흰동가리로 살아보고 싶다. 왜냐하면 평소에 좋아하고 관심이있기도 하기 때문이다.
 그럼 이야기를 시작하겠다.     
나는 바닷속에 사는 흰동가리야. 난 내 친구 말미잘과 언제 어디서나 붙어다니지. 왜냐하면 말미잘은 나를 보호하고 감싸주거든. 그래서 언제나 든든해.
 나는 오늘도 아슬아슬하게 살아남았어.상어가 나를 쫓아왔지만 내가 말미잘 안에 쏙 들어갔거든.그래서 그런지 찾지 못하더라.그때 얼마나 식겁하고 두려웠는 지 몰라.
 이상으로 나의 바다생물 이야기를 마칠게. 안녕~

위 문장에서 맞춤법을 교정하여 적어줘. 전체 문장을 [ ] 대괄호 안에 넣어서 출력해줘.",,글짓기
spelling_correct,5,"내가 아래에 제공하는 문장의 맞춤법을 교정해 줘.

이 책은 내가 신청하여 수강 하게 된 플러스 교육 과정의 일환으로 읽게 된 책이다. 우선 이 책은 우리나라의 교육의 문제점이 무엇인지 파악하고 그 해결책을 다른 나라의 선례를 통해 알아보는 책이다. 특히 나는 이 책의 내용 중 인상 깊었던 내용은 영어 리커버리에 대한 내용이였다. 이 이야기를 할려면 우리나라의 초등학생들의 한글 실태에 대해서 알아야한다. 우리는 어릴때부터 한글을 많이 접하여서 한글을 어렵지 않게 깨우쳤지만 요즘 초등학교 저학년들의 경우는 다르다고 한다. 반에서 한 두명씩은 한글을 잘 알지 못해 수업의 진도를 못 따라가는 경우가 있다고 하는데 우리나라의 제도상 이 학생들을 도와줄 제도가 딱히 없다고 하여서 이 학생들은 수업을 듣는 것이 어렵다고 한다. 외국의 사례를 보면 영어를 잘 하지 못하는 초등학교 저학년 학생들을 위하여 리커버리 제도가 존재하는 데, 아직 영어를 잘 하지 못하는 학생들을 위하여 방과 후나 수업 시간에 리커버리 담당 교사와 그 학생이 리커버리 수업을 하여 학생의 부족한 부분을 따로 배우는 형식이다. 이 사례를 들으니 나는 이 제도가 우리나라에도 도입이 되었으면 좋겠다는 생각이 들었다. 우리나라는 한글을 모르는 학생들에게 보강을 해준다고 하면 리커버리 담당 교사가 있는 것이 아니라 담임 선생님이 따로 시간을 내서 보강을 해줘야 하기 때문에 담임 선생님에게 부담이 엄청 되는데, 리커버리 제도가 있으면 리커버리 담당 교사가 보강을 하기 때문에 담임 선생님에게 부담이 덜 될 것이라고 생각한다. 나는 이 책을 읽고서 우리나라의 교육에는 어떤 문제점들이 아직도 존재하는지 알게 되었고 이 문제점들을 해결할 방법들도 알게 되었다.

위 문장에서 맞춤법을 교정하여 적어줘. 전체 문장을 [ ] 대괄호 안에 넣어서 출력해줘.",,설명글
spelling_correct,6,"내가 아래에 제공하는 문장의 맞춤법을 교정해 줘.

저는 반려동물유기 사태에 대하여 저는 이를 해결하기 위하여 못된 어른들을 혼내야한다고 생각합니다. 어른들을 혼낼만한 법이 없기에 이런 반려동물유기사태가 일어난다고 생각합니다. 그리고 길거리에 씨씨티비를 많이 설치하여 반려동물들이 유기되어도 다치지 않게 하면 동물들이 불쌍하지 않게 될것 입니다. 반려동물유기 사태로 인해 얼마나 많은 동물들이 다치고 아플까요...? 그 수많은 불쌍한 동물들을 생각하면 눈물이 앞을 가리는 느낌입니다. 그리고 이런 동물들을 보호할 수 있는 단체나 장소가 지금보다 많이 생기고 이런 곳에 대한 많은 지원이 생긴다면 앞으로는 동물들이 많이 행복해질 수 있지 않을까요? 그리고 동물들이 행복하다면 사람들도 같이 행복해지는 날이 올 수 있을것입니다. 그리고 반려동물들의 유기사태가 더이상 일어나지 않는다면,  더 이상 동물들이 불행해지지 않는다면, 우리나라에 대한 평이 좋아져서 발전할 수 있을 것입니다.

위 문장에서 맞춤법을 교정하여 적어줘. 전체 문장을 [ ] 대괄호 안에 넣어서 출력해줘.",,대안제시
spelling_correct,7,"내가 아래에 제공하는 문장의 맞춤법을 교정해 줘.

저는 우리의 미래를 위해 통일을 해야한다고 생각합니다. 통일이 되어야 하는 이유는 아주 많습니다. 그중 제일 힘든 문제는 이산가족 문제, 국방비 문제 입니다. 이산가족 분들은 하루하루를 눈물로 지내시고 계십니다. 바로 앞에 보이는 남한, 또는 북한에 가족이 있는데 볼 수 없다면 얼마나 고통스럽겠습니까? 겪어 보지 않은 사람들은 알지 못할 수도 있지만 이산가족 분들에 마음은 미어지고 찢어질 것입니다. 생각해 보세요. 1달 동안 가족과 떨어져 있으면 얼마나 괴롭겠습니까? 그런데 이산가족 분들은 1달도 아니고 1년도 아니고 무려 몇십년 동안 떨어져 있으니 어떠겠어요~ 너무 힘들것 같지 않나요? 우리는 이산가족 분들에 아픔을 덜어드리기 위해서라도 통일을 해야해요. 그리고 우리는 전쟁이 아직 끝나지 않았어요 우리는 휴전 중일 뿐이에요. 그러니 사람들은 항상 두려움에 쌓여 있어요. 그리고 우리는 전쟁이 끝나지 않았기 때문에 남자들은 일정 나이가 되면 꼭 군대를 가야하는 어려움이 있어요. 하지만 통일이 되면 그러지 않아도 되요. 그리고 우리는 우리가 아직 휴전 중이라 미리 탱크, 미사일, 총등을 사 놓아야 해서 국방비가 많이 들어요. 그런데 그 국방비를 다른데에 사용한다면 어떨까요? 만약 국방비를 학교에 사용하면 학교는 우리가 공부를 잘 할 수 있도록 최적화가 돼있을 거에요. 생각만 해도 대단하지 않나요? 우리가 통일이 되면 이런 불편한 점이 없어지고 더 행복해 질 것이에요. 그리고 지금 다른 나라들은 우리를 언제 전쟁이 일어날지 모르는 위험한 나라라고 생각해요. 그리고 우리는 기술이 참 많아요. 하지만 자원이 없죠. 그러나 우리가 통일 되면 그런 문제가 없어지는 것 또한 우리나라는 더 강해질 수 있을거에요. 아무래도 북한에는 핵폭탄이 있고, 위험할 것이라고 생각하실수도 있지만 우리는 역사적으로도 한 민족이였습니다. 그러니 걱정하시지 않아도 됩니다. 통일이 되면 경제적으로도 우리에게 이득이 많습니다. 그러니 우리 이산가족 분들을 위해 우리 자신을 위해 통일 합시다~

위 문장에서 맞춤법을 교정하여 적어줘. 전체 문장을 [ ] 대괄호 안에 넣어서 출력해줘.",,찬성반대
spelling_correct,8,"내가 아래에 제공하는 문장의 맞춤법을 교정해 줘.

코리아스페이스포럼 2021이 12월 6일 종로구 포시즌스호텔에서 열렸습니다. 올해로 3회째를 맞은 코리아스페이스포럼은 '확장하는 우주 경제, 역동적인 생태계 만들기'를 주제로 이틀간 진행이 되었습니다. 올해 포럼에는 미국항공우주국을 비롯해 아마존웹서비스, 에어버스, 스페이스엔젤스, 유로컨설트, 아이스아이 등 해외기관 전문가와 우주기업인 19명, 국내 기관과 기업에서 29명 등 48명의 우주 전문가들이 참석해 미국달 탐사 사업인 아르테미스 프로그램과 최초 지구방위 실험인 다트, 한국형 발사체 경쟁력 전망 등 우주산업과 우주과학 분야의 최신 동향을 살펴보고 열띤 토론을 진행했습니다. 미국 유인 탐사 계획을 총괄하는 누주드 머랜시 나사 탐사임무계획실 책임자는 미국이 2025년을 목표로 추진하는 유인 달 탐사 사업인 아르테미스 계획을 추진하는 이유와 궁극적인 방향을 소개합니다. 아르테미스 프로젝트는 미국의 주도로 일본과 영국, 호주, 캐나다, 이탈리아, 룩셈부르크, 아랍에미리트, 폴란드 등이 함께 참여하고 있습니다. 한국도 올해 5월 한미 정상회담 후속 조치로 아르테미스 계획에 참여하기로 서명했습니다. 앤디 리브킨 미국 존스홉킨스대 교수는 인류 최초 소행성 방어 실험인 다트의 개요를 소개했습니다. 다트는 11월 24일 미국 캘리포니아 반덴버그 공군기지에서 스페이스X의 팰컨9 로켓에 실려 발사됐습니다. 이 임무는 지구에 위협이 될 가능성이 있는 소행성을 지구에서 멀어지게 하는 데 필요한 실제 데이터를 확보하는 게 목표입니다. 한국 우주개발 계획에 따른 파급효과가 우주산업에 미칠 청사진도 조망하는 자리도 마련된다고 합니다. 파콤 레빌론 유로컨설트 최고경영자는 급변하는 우주발사체 시장을 전망하고 발사체 선진국과 기술 경쟁 속에서 한국형발사체의 가능성과 도전 방향에 대한 견해를 내놓을 예정이라고 합니다.

위 문장에서 맞춤법을 교정하여 적어줘. 전체 문장을 [ ] 대괄호 안에 넣어서 출력해줘.",,글짓기
spelling_correct,9,"내가 아래에 제공하는 문장의 맞춤법을 교정해 줘.

저는 길을 가다 지갑을 주웠을 때 가장 책임감을 느꼈습니다. 한번은 그냥 집을 가는 길에 지갑이 떨어져 있어서 고민을 했습니다. 왜냐하면 엄마가 괜히 일에 휘말리지 말고 최대한 뭘 줍지 말라고 하셨기 때문입니다. 그래서 저는 그냥 두고가도 되는 것인지 보려고 지갑은 봤는데 카드와 3만 원 정도가 있었습니다. 그래서 돈이 있는 이상 두고갈 수가 없을 것 같았습니다. 제가 여기에 두고 가면 누가 가져가서 누군가가 열심히 번 돈이 그냥 없어지는 것이기 때문입니다. 그래서 저는 책임감을 가지고 파출소에 가져가야겠다고 생각하였습니다. 마침 바로 앞에 파출소가 있었어서 거기로 가서 어떻게 된 일인지 설명을 하고 맡기고 오려고 갔습니다. 그런데 예상외로 제가 그냥 두고 오는 것인데도 뭘 많이 적어야 한다는 것을 알았습니다. 지갑을 찾은 사람이 보상을 할 수도 있고 지갑의 주인이 안 돌아오면 그 지갑에 있는 현금이 저한테 온다고 들었습니다. 그래서 적고 오는 것이라 들었습니다. 귀찮긴 했지만 지금 연락이 없는 것을 보니 주인이 지갑을 찾아간 것 같습니다. 저도 지갑을 잃어버린 적이 있고 그때의 느낌을 알고 있으니 정말 다행이라고 생각합니다. 저는 다시 한번 제 앞에 지갑이 떨어져 있어도 똑같이 파출소에 가져다 드릴 것입니다. 이 경험이 제가 가장 책임감을 느꼈던 경험이었습니다.

위 문장에서 맞춤법을 교정하여 적어줘. 전체 문장을 [ ] 대괄호 안에 넣어서 출력해줘.",,설명글
spelling_correct,10,"내가 아래에 제공하는 문장의 맞춤법을 교정해 줘.

내 생각에 e스포츠는 스포츠로 취급받아야 한다고 생각한다. 왜냐하면 현재의 사회가 정보화 사회로 변화하면서오프라인의 스포츠뿐만 다닌 온라인의 스포츠도 정식 스포츠로 취급받아야 되기 때문이다. 게임 중 하나인 리그오브레전드는 국내와 해외 모두에서 선풍적인 인기를 끌고 있고 팀도 있고 대회도 있으며 선수들도 많아 인프라가 좋다. 이렇게 리그오브레전드와 같이 인기가 많은 게임은 베이징 올림픽에도 채택이 되며 올림픽의 정식 종목이 되었다. 전통적인 스포츠인 축구와 야구,배구같은 구기 종목이나 수영, 달리기와 같이 인간의 한계는 어디까지인지 측정하는 종목과는 다른 온라인 게임이지만 정당한 경쟁을 통해 우승을 가리는 것은 똑같기 때문에 정식 스포츠화될 가능성이 충분하다. 그러나 오늘날의 젊은 세대들은 어릴 적부터 전자기기를 접해왔기 때문에 익숙하지만 기성세대, 즉 오래전에는 아날로그 방식들사용해왔지만 최근들어서 스마트기기들을접하는 분들은 어떨까? 축구, 야구, 달리기 등의 전통적인 스포츠는 기본적인 규칙만을 알고 몸만 움직이면 되지만 온라인 게임은 그렇지 않다. 어르신들은 컴퓨터의 기본적인 사용법에 대해서도 모르실 것이고 온라인 게임을 쉽게 익히지 못 할것이다. 즉 축구와야구같이 전통적인 스포츠들은 접근성이뛰어나지만 온라인 게임은 접근성이 떨어진다는 것이다. 결국 온라인 게임은대중성이 떨어지게 될 수밖에 없다. 하지만 세계는 시간이 갈수록 빠르게 변화하고 우리의 문화도 거기에 맞춰질것이다. 세계적인 트렌드에 발 맞춰 따라가기 위해 우리는 노인들을 위한 교육을 실시해야 한다. 전자기기를 주로 가르치는 노인대학이 많이 설립되어야하고 그건에 대한 복지를 증가시켜야할 것이다. 이러한 노력을 해야만이 온라인 게임의 대중성을 높일 수있고 그로인해 e스포츠의 스포츠화를 할 수있어야 한다.

위 문장에서 맞춤법을 교정하여 적어줘. 전체 문장을 [ ] 대괄호 안에 넣어서 출력해줘.",,주장
