task_name,index,prompt,answer,attribute
translation/techsci,1,다음 문장을 영어로 번역해 줘. 정부 또는 특정 행위자의 이익을 대변하는 협력체가 아닌 지역들 간 전방위적인 교류 및 협력 강화를 통해 아시아와 유럽 지역의 상호 이해를 증진하는 지역 협력체라고 할 수 있는 것이다.,"It is not a cooperative organization representing the interests of the government or a specific actor, but a regional cooperative that promotes mutual understanding between Asia and Europe through omnidirectional exchanges and reinforcement of cooperation between regions.","False, 문어체"
translation/techsci,2,"다음 문장을 영어로 번역해 줘. 역이야말로 식민지인의 시간과 일상은 물론 정신까지 통제할 수 있는 가장 기본적인 장치로서, 식민지 경영상 활용도가 대단히 큰 까닭이다.","The station is the essential device that can control the time and daily life of the colonists and the mind, which is why it is instrumental in colonial management.","False, 문어체"
translation/techsci,3,다음 문장을 영어로 번역해 줘. 비디오 인코더(20)는 서브-DPB 파라미터들이 다수의 서브-계층들에 대해 시그널링될 수도 있다는 것을 표시하기 위해 플래그를 제2 값으로 설정할 수도 있다.,The video encoder 20 may set the flag to a second value to indicate that sub-DPB parameters may be signaled for multiple sub-layers.,"False, 문어체"
translation/techsci,4,다음 문장을 영어로 번역해 줘. 중소서점이 중소 출판사를 후원해 새롭고 특색 있는 책을 출판하도록 돕는다는 겁니다.,It helps me to publish new and unique books by sponsoring small and medium-sized publishers.,"False, 문어체"
translation/techsci,5,"다음 문장을 영어로 번역해 줘. 상기 미리보기 이미지들에 해당하는 상기 오브젝트에 대한 드래그 또는 호버링(232)인 상기 사전 실행 컨트롤 제스처에 대응하여, 상기 제어부(110)는 상기 미리보기 이미지들(240, 242, 244)을 전개할 수 있다.","In response to the pre-execution control gesture of dragging or hovering 232 on the object corresponding to the preview images, the control unit 110 may expand the preview images 240, 242, and 244.","False, 문어체"
translation/techsci,6,"다음 문장을 영어로 번역해 줘. 조선 로동당 창당 당시 당무 전반을 총괄하는 당 비서직이 신설되었고, 제1비서에 고려인 AAA1, 제2비서에 남로당의 AAA2, 제3비서에 남로당의 AAA3이 선출되었다.","During the time of the founding of the Workers' Party of Korea, a new party secretary place was newly established, and a Goryeoin AAA1 ended up being elected as the first assistant, AAA2 of the South Labor Party as the second secretary, and AAA3 of the Southern Labor Party as the 3rd assistant.","False, 문어체"
translation/techsci,7,"다음 문장을 영어로 번역해 줘. 사회 전반적으로 급격하고 동시다발적인 변화가 발생하면서 모든 정치 및 사회 세력의 해방(emancipation), 즉 대중의 정치참여가 촉발되었다.","Rapid and simultaneous changes occurred in culture as a whole, triggering the emancipation of all political and social forces, that is, the political involvement of the masses.","False, 문어체"
translation/techsci,8,"다음 문장을 영어로 번역해 줘. 이러한 갈등은 현 정부의 탈원전 선언과 이에 따라 단기적으로는 온실가스 저감을 위해 최적화된 전원 구성이 보다 어려워진 구조적 제약에 따라, 향후 보다 심화할 가능성이 높다고 할 수 있다.",These disputes tend to be extremely likely to intensify in the future due to the present government's statement of denuclearization and structural constraints that have managed to get more challenging to configure an enhanced power origin for greenhouse gasoline decrease in the short-term.,"False, 문어체"
translation/techsci,9,다음 문장을 영어로 번역해 줘. 이집트 경찰은 최루가스를 쏘며 시위대를 해산했고 시위 참가자 중 23명을 체포했다.,Egyptian police dispersed protesters with tear gas and arrested 23 people.,"False, 문어체"
translation/techsci,10,다음 문장을 영어로 번역해 줘. 결장암 검사에 사용되는 컴퓨터 단층촬영(CT)의 위험성에 대한 정부 전문가들의 경고를 미국 식품의약국(FDA)이 무시한 것으로 드러났다고 BBB 인터넷판이 28일 보도했다.,"The U.S. Food and Drug Administration (FDA) has been ignoring warnings from government experts about the risks of computed tomography (CT) used to test for colon cancer, the BBB Internet version reported on the 28th.","False, 문어체"
translation/techsci,11,"다음 문장을 영어로 번역해 줘. 이어 ""우리는 매 순간 상황을 감시하고 있으며 데이터를 분석하고 있다""며 ""WHO는 만일 그 증거들이 뒷받침된다면 코로나19를 팬데믹이라고 표현하는 데 주저하지 않을 것""이라고 알렸다.","""We are monitoring the situation at every moment and analyzing the data,"" he said.","False, 문어체"
translation/techsci,12,다음 문장을 영어로 번역해 줘. 기능 모드의 항목 리스트(340)는 홈 화면(310)과 관련되어 휴대 단말기에서 수행될 수 있는 기능 모드로의 진입을 안내하기 위한 리스트일 수 있다.,The item list 340 of the function mode may be a list for guiding entry into a function mode that may be performed in the portable terminal in relation to the home screen 310.,"False, 문어체"
translation/techsci,13,"다음 문장을 영어로 번역해 줘. 이는 일 예일 뿐, 캐퍼빌리티에 관한 정보에는 단말(920)에서 지원하는 코덱에 관한 정보가 포함될 수도 있다.","This is only an example, and information on the capability may include information on a codec supported by the terminal 920.","False, 문어체"
translation/techsci,14,다음 문장을 영어로 번역해 줘. 일부 실시형태에 있어서는 모바일 디바이스(100)의 후면으로부터의 호버 모션의 깊이 또는 높이가 줌 인-줌 아웃 인자로서 역할을 할 수 있다.,The depth or height of the hover motion from the back surface of the mobile device 100 may serve as a zoom in-zoom out factor in some embodiments.,"False, 문어체"
translation/techsci,15,다음 문장을 영어로 번역해 줘. 국제협약 가운데 가장 많은 196개국이 가입한 것은 아동 문제에 관해서는 나라마다 이견이 없다는 뜻이다.,The fact that 196 countries have signed up for the largest number of international conventions means that there is no difference of opinion between countries on the issue of children.,"False, 문어체"
translation/techsci,16,"다음 문장을 영어로 번역해 줘. 신 규약은 당 건설의 기본 원칙으로 유일 사상 체계 확립, 유일적 영도 체계 강화, 당과 인민 대중의 혼연일체, 그리고 당 건설에서의 계승성 보장을 제시하였다.","The new rules suggested establishing a unique ideological system, strengthening the unique leadership system, uniting the party and the people's public, and ensuring succession in party construction as the basic principles of party construction.","False, 문어체"
translation/techsci,17,"다음 문장을 영어로 번역해 줘. 처리 유닛(404)이 제2 업데이트 값 중 어느 것도 코드 엘리먼트 양자화 범위를 초과하지 않는 것으로 결정하는 경우, 처리 유닛(404)은 P개의 제2 업데이트 값을 판독한다.","If the processing unit 404 determines that none of the second update values ​​exceed the code element quantization range, the processing unit 404 reads the P second update values.","False, 문어체"
translation/techsci,18,다음 문장을 영어로 번역해 줘. 주민이 지역공동체에 분단된 상태이거나 이질적인 문화나 통일되지 않은 교육제도에 놓인 경우 사회통합으로는 규범의 확립이 필요하고 그렇지 못하게 되면 효율적이고도 성과를 내는 중앙집권적인 통치가 불가능하다.,"If residents are divided into local communities or are placed in a heterogeneous culture or unifying educational system, social integration requires establishing norms; otherwise efficient, and centralized governance that produces results will not be possible.","False, 문어체"
translation/techsci,19,다음 문장을 영어로 번역해 줘. 북한의 핵·미사일 고도화 의지를 꺾기 위해 압박에 치중하고 있는 국제사회에 잘못된 신호를 주지 않기 위해서다.,"This is to avoid giving the wrong signal to the international community, which is focusing on pressure to deflect North Korea's willingness to modernize its nuclear and missiles.","False, 문어체"
translation/techsci,20,"다음 문장을 영어로 번역해 줘. 이동 단말기(100)와 상대방 단말 사이에 공유하고자 하는 동영상 파일의 재생이 완료되면, 제어부(180)는 상대방 단말과의 동영상 공유가 종료되도록 제어할 수 있다.","When the reproduction of the video file to be shared between the mobile terminal 100 and the counterpart terminal is completed, the control unit 180 may control the video sharing with the counterpart terminal to be terminated.","False, 문어체"
