index,Classify_1,Classify_2,ko,en
0264070293,기초과학,생명과학,코로나19 팬데믹은 사람들의 행동은 물론 생각까지 바꾸어 놓았지만 우리나라로서는 진단키트부터 치료제까지 K바이오의 저력을 전 세계에 알릴 수 있는 기회가 되기도 했다.,"Although the COVID-19 epidemic has altered people's behavior and thoughts, it has also provided an opportunity for Korea to showcase the possibilities of K-bio to the rest of the globe, from diagnostic kits to cures."
0264070293,기초과학,생명과학,코로나19를 둘러싼 바이오 이슈와 바이오헬스 트렌드를 이만큼 잘 정리한 책은 없을 것이다.,There is no other book that so effectively explains the bio-issues and biohealth trends underlying COVID-19.
0264070293,기초과학,생명과학,평소 팩트와 과학에 근거한 기사를 통해 저널리즘의 수준을 높여왔던 두 경제 기자의 전문성이 돋보이는 역작이다.,It is a masterwork that exemplifies the competence of two economic journalists who have elevated the standard of journalism through pieces based on facts and science.
0264070293,기초과학,생명과학,일반인은 물론 대학교수와 바이오 분야 기업인들에게도 일독을 권한다.,"I recommend reading it not only to the general public, but also to university academics and business people in the bio field."
0264070293,기초과학,생명과학,서울대 의대 코로나19 과학위원장·전 서울대 의대 학장 강대희  2020년은 코로나19로 시작해서 코로나19로 끝난 한 해였다.,"Kang Dae-hee, former dean of the Medical School of Seoul National University and chairman of the COVID-19 Science Committee. 2020 was a year that began with COVID-19 and concluded with COVID-19."
0264070293,기초과학,생명과학,"온 국민과 정부는 이 전대미문의 바이러스 창궐로 고통을 겪었으나 반면에 국민에게 바이오가 무엇인지, 우리 생활에 어떻게 밀접한 관련이 있는지, 사업으로는 어떤 가능성을 가진 분야인지를 뚜렷이 각인시켜준 계기가 됐다.","The entire nation and government suffered as a result of this extraordinary breakout of the virus, but it was also an opportunity to clearly impress on the people what bio is, how it is closely tied to our lives, and what sort of business potential it has."
0264070293,기초과학,생명과학,바이오산업이 우리가 지향해야 할 필수적인 분야이고 대한민국의 미래를 책임지는 중요한 사업 분야임에 틀림없다.,"The bio industry is an important field that we should strive towards, and it is undeniably a significant business field that will shape the Republic of Korea's future."
0264070293,기초과학,생명과학,"두 기자가 저술한 이 책은 K바이오란 과연 무엇인지, 어떤 실체성을 가지고 있고, 앞으로 풀어야 할 문제점 등은 무엇인지를 비전공자의 입장에서 매우 쉽게 설명해준다.","This book, written by two reporters, describes what K-bio is, what sort of content it has, and what a problem to solve in the future, from the perspective of non-majors."
0264070293,기초과학,생명과학,시의적절한 순간에 나온 K바이오의 현주소를 담아낸 보물창고와 같은 책이다.,This book is a treasure trove of K-bio's current state that was released at just the right time.
0264070293,기초과학,생명과학,알테오젠 대표이사 박순재  코로나19 확산으로 바이오산업의 중요성에 대한 국민적 공감과 이해가 절실해지고 있다.,"Park Soon-jae, CEO of Alteogen. The emergence of COVID-19 has heightened public sympathy and knowledge of the relevance of the biotechnology industry."
0264070293,기초과학,생명과학,이런 가운데 우리 바이오산업 현장을 속속들이 잘 알고 있는 저자들이 쓴 시의적절한 책이 나왔다.,"In the midst of this, a timely book written by authors with extensive knowledge of the bio business was published."
0264070293,기초과학,생명과학,여기에는 혁신적인 기술과 바이오산업의 진면목이 생생하게 담겨 있다.,Innovative technologies as well as the real essence of the bio industry are eloquently captured here.
0264070293,기초과학,생명과학,이 책을 읽으면 바이오 전반에 대한 필수 지식을 얻을 수 있고 바이오 기업의 옥석을 가릴 수 있는 지혜도 얻게 되리라 확신한다.,I'm confident that reading this book will provide you with the fundamental understanding of bio as a whole and the discernment to recognize the excellent from the bad in bio companies.
0264070293,기초과학,생명과학,한국바이오협회장·마크로젠 회장 서정선  바이오산업의 변방이었던 대한민국에서도 글로벌 수준의 바이오 기업이 나와야 한다는 일념 하나로 숱한 실패와 성공을 겪으며 지금의 셀트리온으로 거듭날 수 있었다.,"Seo Jeong-sun, President and Macrogen of the Korea Biotechnology Industry Organization. After repeated failures and achievements in Korea, which was on the fringe of the bio sector, it was able to be reborn as Celltrion with the desire that a worldwide bio corporation should arise."
0264070293,기초과학,생명과학,지금은 수많은 국내 제약바이오 기업들이 세계를 무대로 활약하며 대한민국을 차세대 바이오 강국으로 이끌기 위해 한국인만의 근성과 열정으로 전력 질주해나가고 있다.,"The Republic of Korea is currently being led by a number of indigenous pharmaceutical and biotechnology enterprises, which are racing with the zeal and enthusiasm of Koreans to become the world's next-generation bio-power."
