task_name,index,prompt,answer,attribute
translation/humanities,1,"Translate the following sentence into Korean. Starting as an assistant professor of materials engineering at Suncheon National University in 1985, until when he was appointed as president of Suncheon National University in 2006, he wanted to show joy through teaching and enlightening others just as his mother taught him.","1985년 순천대학교 재료공학과 조교수를 시작으로 2006년 순천대학교 총장으로 부임할 때까지 어머니가 말씀하신 대로 타인을 가르치는 것을 기쁨으로, 깨닫게 해주는 것을 즐거움으로 여기며 살고자 했다.",
translation/humanities,2,"Translate the following sentence into Korean. However, there was always an unresolved frustration in the corner of my heart.",하지만 마음 한구석에는 늘 해결되지 않은 답답함이 있었다.,
translation/humanities,3,"Translate the following sentence into Korean. It was because the eyes of the students are apathetic and without enthusiasm, and young adults were anxious and did not know where to go.","그것은 패기와 열정을 잃어버린 학생들의 눈빛, 어디로 가야할지 모르는 채 어른이 되어가는 청춘들의 불안한 모습 때문이었다.",
translation/humanities,4,"Translate the following sentence into Korean. While teaching students at Suncheon University, I pondered upon how to make them have enthusiasm, passion, and a clear goal.","순천대학교에서 학생들을 가르치며 나는 어떻게 하면 학생들에게 패기와 열정, 뚜렷한 목표의식을 갖게 해줄 것인가를 고민했다.",
translation/humanities,5,Translate the following sentence into Korean. This was a sense of duty as a teacher that I had from the moment when I stood behind the platform first.,이것은 내가 처음 교단에 선 이래 줄곧 품어왔던 스승으로서의 사명감이었다.,
translation/humanities,6,"Translate the following sentence into Korean. After teaching and giving lectures with that attitude, I realized that nothing had changed and that the professor cannot do everything.",이렇게 가르쳐 보고 저렇게 강의해 봐도 별로 달라지는 게 없다는 것을 느낀 나는 한참이 지난 후에야 교수로서는 한계가 있다는 것을 깨달았다.,
translation/humanities,7,"Translate the following sentence into Korean. Later, as president, I pushed for a drastic reorganization of the department, yet the self of the students, which was formed once, could not be straightened out by a temporary and special education system or method.","이후 총장이 되어 과감한 학과개편을 추진했지만, 한번 형성된 학생들의 자아는 일시적이고 특별한 교육제도나 방법만으로는 바로 세울 수가 없었다.",
translation/humanities,8,"Translate the following sentence into Korean. This was impossible unless students were educated for years, from the time they began to recognize society.",이는 학생들이 사회를 인식하기 시작할 때부터 수년에 걸쳐 교육으로 길러지지 않으면 불가능한 일이었다.,
translation/humanities,9,"Translate the following sentence into Korean. For such a long time, the question of “What should be changed in education in Korea?” continued, and this became an important trigger to run for Jeollanam-do Superintendent of Education.","그렇게 오랜 시간 ‘우리나라의 교육, 무엇이 변화되어야 하는가?’에 대한 고민은 계속되었고, 이는 전남도교육감 출마를 결정짓는 중요한 계기가 되었다.",
translation/humanities,10,"Translate the following sentence into Korean. In fact, the problems of education in Korea continued to be revealed, and the side effects have continued, but efforts have not been made to find the root cause.",사실 우리나라 교육의 문제점은 계속해서 드러났고 여전히 그 부작용이 이어지고 있지만 근본적인 원인을 찾으려는 노력은 그리 많지 않았다.,
translation/humanities,11,"Translate the following sentence into Korean. Attempts continuously have been made to solve the problem, but it was not easy to find the fundamental root cause by looking back on the footsteps of Korean education in history.",문제해결을 위한 시도는 계속되고 있지만 오랜 시간 한국 교육이 걸어온 발자취를 돌아보며 근본적인 원인을 찾아내는 것이 쉽지만은 않았다.,
translation/humanities,12,"Translate the following sentence into Korean. Then, where can we find the cause? As an educator, I have concluded that our society, including students and parents, should have the most rational answer to the question “why do I study?”.",그렇다면 그 원인을 어디서 찾을 수 있을까? 교육자로서 내가 고민하여 얻은 결론은 ‘공부를 왜 하는가?’에 대한 가장 합리적인 대답이 학생과 학부모 나아가 우리 사회에 존재해야 한다는 것이다.,
translation/humanities,13,"Translate the following sentence into Korean. As jobs and income levels changed according to the academic background during the industrial era, Korea became more focused on knowledge-based education and career-oriented education, and study was considered a means to achieve fame and prestige.","산업화시대를 거치며 학벌에 따라 직업이 바뀌고 수입의 수준이 달라지다 보니 우리나라는 지식위주의 교육, 출세위주의 교육에 더욱 매달리게 되었고 공부가 곧 입신양명의 일환으로 여겨졌다.",
translation/humanities,14,"Translate the following sentence into Korean. As jobs and income levels changed according to the academic background during the industrial era, Korea became more focused on knowledge-based education and career-oriented education, and study was considered as a means to achieve fame and prestige.",더 이상 지식의 양이 중요한 시대가 아님에도 불구하고 여전히 산업화시대의 산물이라 할 수 있는 주입식 혹은 암기위주 교육의 틀에서 벗어나지 못하고 있는 것이 현실이다.,
